time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-23 00:00:00+00:00,3,1,83.0,1.0
2023-10-24 00:00:00+00:00,1,1,,
2023-10-25 00:00:00+00:00,1,1,,
