time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,21,7,1,1
2026-07-04 00:00:00+00:00,16,6,0,0
2026-07-05 00:00:00+00:00,6,6,0,0
2026-07-06 00:00:00+00:00,22,9,10,4
2026-07-07 00:00:00+00:00,13,4,1,1
2026-07-08 00:00:00+00:00,6,2,5,2
2026-07-09 00:00:00+00:00,11,6,13,3
2026-07-10 00:00:00+00:00,13,4,5,3
2026-07-11 00:00:00+00:00,19,4,0,0
2026-07-12 00:00:00+00:00,13,3,69,3
2026-07-13 00:00:00+00:00,19,6,7,2
2026-07-14 00:00:00+00:00,8,3,2,2
2026-07-15 00:00:00+00:00,20,6,38,3
2026-07-16 00:00:00+00:00,18,9,1,1
