url_path,views_total,views_unique
/ConesaLab/IsoAnnot,21,10
/ConesaLab/IsoAnnot/tree/main/IsoAnnot,14,3
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config,8,2
/ConesaLab/IsoAnnot/issues,6,3
/ConesaLab/IsoAnnot/tree/main,6,2
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/config/mytranscripts/hsapiens/config.yaml,5,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config/mytranscripts/hsapiens,4,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/scripts,3,3
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/config/generic/Snakefile_mytranscripts.smk,3,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config/generic,3,1
