time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-27 00:00:00+00:00,6.0,6.0,37,4
2025-11-28 00:00:00+00:00,2.0,2.0,10,4
2025-11-29 00:00:00+00:00,6.0,6.0,9,6
2025-11-30 00:00:00+00:00,3.0,3.0,4,2
2025-12-01 00:00:00+00:00,49.0,26.0,105,7
2025-12-02 00:00:00+00:00,18.0,9.0,12,1
2025-12-03 00:00:00+00:00,90.0,25.0,4,2
2025-12-04 00:00:00+00:00,15.0,7.0,5,2
2025-12-05 00:00:00+00:00,5.0,5.0,8,4
2025-12-06 00:00:00+00:00,6.0,6.0,63,2
2025-12-07 00:00:00+00:00,7.0,3.0,4,3
2025-12-08 00:00:00+00:00,4.0,4.0,2,1
2025-12-09 00:00:00+00:00,8.0,4.0,20,4
2025-12-10 00:00:00+00:00,,,5,1
