time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-17 00:00:00+00:00,13,4,0,0
2026-05-18 00:00:00+00:00,23,7,1,1
2026-05-19 00:00:00+00:00,8,3,1,1
2026-05-20 00:00:00+00:00,8,3,3,1
2026-05-21 00:00:00+00:00,19,6,2,2
2026-05-22 00:00:00+00:00,7,3,0,0
2026-05-23 00:00:00+00:00,10,5,2,1
2026-05-24 00:00:00+00:00,27,13,1,1
2026-05-25 00:00:00+00:00,28,9,4,2
2026-05-26 00:00:00+00:00,14,5,0,0
2026-05-27 00:00:00+00:00,13,8,3,1
2026-05-28 00:00:00+00:00,17,6,0,0
2026-05-29 00:00:00+00:00,3,3,0,0
2026-05-30 00:00:00+00:00,28,9,2,2
