time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-02 00:00:00+00:00,18,9,12,1
2025-12-03 00:00:00+00:00,90,25,4,2
2025-12-04 00:00:00+00:00,15,7,5,2
2025-12-05 00:00:00+00:00,5,5,8,4
2025-12-06 00:00:00+00:00,6,6,63,2
2025-12-07 00:00:00+00:00,7,3,4,3
2025-12-08 00:00:00+00:00,4,4,2,1
2025-12-09 00:00:00+00:00,8,4,20,4
2025-12-10 00:00:00+00:00,2,2,6,1
2025-12-11 00:00:00+00:00,9,5,3,1
2025-12-12 00:00:00+00:00,7,3,12,4
2025-12-13 00:00:00+00:00,7,3,1,1
2025-12-14 00:00:00+00:00,8,4,3,1
2025-12-15 00:00:00+00:00,1,1,69,5
