url_path,views_total,views_unique
/ConesaLab/IsoAnnot/tree/main/IsoAnnot,27,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/isoannot.sh,12,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config/mytranscripts/hsapiens,12,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config,11,1
/ConesaLab/IsoAnnot,8,2
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/snakemake.yaml,6,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/scripts,5,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/config/mytranscripts/hsapiens/config.yaml,4,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/config/mytranscripts/hsapiens/Snakefile.smk,4,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config/ensembl/hsapiens,4,1
