time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-09 00:00:00+00:00,8.0,4.0,20,4
2025-12-10 00:00:00+00:00,2.0,2.0,6,1
2025-12-11 00:00:00+00:00,9.0,5.0,3,1
2025-12-12 00:00:00+00:00,7.0,3.0,12,4
2025-12-13 00:00:00+00:00,7.0,3.0,1,1
2025-12-14 00:00:00+00:00,8.0,4.0,3,1
2025-12-15 00:00:00+00:00,3.0,3.0,69,5
2025-12-16 00:00:00+00:00,2.0,2.0,4,2
2025-12-17 00:00:00+00:00,7.0,3.0,82,3
2025-12-18 00:00:00+00:00,7.0,3.0,5,3
2025-12-19 00:00:00+00:00,10.0,6.0,7,3
2025-12-20 00:00:00+00:00,12.0,4.0,1,1
2025-12-21 00:00:00+00:00,16.0,7.0,1,1
2025-12-22 00:00:00+00:00,,,2,1
