time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-21 00:00:00+00:00,13,3,51,3
2025-10-22 00:00:00+00:00,8,3,3,2
2025-10-23 00:00:00+00:00,18,7,7,3
2025-10-24 00:00:00+00:00,2,2,5,3
2025-10-25 00:00:00+00:00,2,2,4,2
2025-10-26 00:00:00+00:00,11,6,4,2
2025-10-27 00:00:00+00:00,8,3,8,5
2025-10-28 00:00:00+00:00,2,2,6,2
2025-10-29 00:00:00+00:00,28,7,19,2
2025-10-30 00:00:00+00:00,6,5,6,2
2025-10-31 00:00:00+00:00,10,5,6,2
2025-11-01 00:00:00+00:00,1,1,1,1
2025-11-02 00:00:00+00:00,3,2,3,2
2025-11-03 00:00:00+00:00,11,2,5,3
