url_path,views_total,views_unique
/ConesaLab/IsoAnnot,5,3
/ConesaLab/IsoAnnot/tree/main/IsoAnnot,5,2
/ConesaLab/IsoAnnot/tree/main,3,2
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/scripts,3,2
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/scripts/IsoAnnot.py,2,2
/ConesaLab/IsoAnnot/issues,2,2
/ConesaLab/IsoAnnot/blob/main/.github/workflows/github-repo-stats.yml,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/isoannot.sh,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/scripts/t2goAnnotationFile.py,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/snakemake.yaml,1,1
