url_path,views_total,views_unique
/ConesaLab/IsoAnnot,18,15
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/config/generic/Snakefile_mytranscripts.smk,8,2
/ConesaLab/IsoAnnot/releases/tag/v0.9.0b1,4,3
/ConesaLab/IsoAnnot/tree/main/IsoAnnot,4,2
/ConesaLab/IsoAnnot/branches,3,3
/ConesaLab/IsoAnnot/tree/github-repo-stats,3,3
/ConesaLab/IsoAnnot/tree/main,3,2
/ConesaLab/IsoAnnot/tree/github-repo-stats/ConesaLab/IsoAnnot,2,1
/ConesaLab/IsoAnnot/blob/dev/IsoAnnot/config/generic/Snakefile_mytranscripts.smk,1,1
/ConesaLab/IsoAnnot/blob/main/.github/workflows/github-repo-stats.yml,1,1
