url_path,views_total,views_unique
/ConesaLab/IsoAnnot,19,17
/ConesaLab/IsoAnnot/issues,3,3
/ConesaLab/IsoAnnot/tree/releases/0.9.0b1,3,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/config/mytranscripts/hsapiens/config.yaml,2,2
/ConesaLab/IsoAnnot/blob/main/README.md,2,2
/ConesaLab/IsoAnnot/issues/10,2,2
/ConesaLab/IsoAnnot/blob/releases/0.9.0b1/IsoAnnot/isoannot.sh,2,1
/ConesaLab/IsoAnnot/blob/releases/0.9.0b1/README.md,2,1
/ConesaLab/IsoAnnot/tree/releases/0.9.0b1/IsoAnnot/config/mytranscripts,2,1
/ConesaLab/IsoAnnot/tree/v0.9.0b1,2,1
