time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-05 00:00:00+00:00,1,1,0,0
2026-09-06 00:00:00+00:00,1,1,0,0
2026-09-07 00:00:00+00:00,14,5,2,1
2026-09-08 00:00:00+00:00,1,1,1,1
2026-09-09 00:00:00+00:00,82,15,0,0
2026-09-10 00:00:00+00:00,16,7,8,2
2026-09-11 00:00:00+00:00,2,2,2,1
2026-09-12 00:00:00+00:00,10,5,0,0
2026-09-13 00:00:00+00:00,13,7,9,1
2026-09-14 00:00:00+00:00,4,4,1,1
2026-09-15 00:00:00+00:00,18,8,2,1
2026-09-16 00:00:00+00:00,9,4,0,0
2026-09-17 00:00:00+00:00,8,3,2,2
2026-09-18 00:00:00+00:00,9,3,0,0
