time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-06 00:00:00+00:00,6,6,63,2
2025-12-07 00:00:00+00:00,7,3,4,3
2025-12-08 00:00:00+00:00,4,4,2,1
2025-12-09 00:00:00+00:00,8,4,20,4
2025-12-10 00:00:00+00:00,2,2,6,1
2025-12-11 00:00:00+00:00,9,5,3,1
2025-12-12 00:00:00+00:00,7,3,12,4
2025-12-13 00:00:00+00:00,7,3,1,1
2025-12-14 00:00:00+00:00,8,4,3,1
2025-12-15 00:00:00+00:00,3,3,69,5
2025-12-16 00:00:00+00:00,2,2,4,2
2025-12-17 00:00:00+00:00,7,3,82,3
2025-12-18 00:00:00+00:00,7,3,5,3
2025-12-19 00:00:00+00:00,2,2,6,3
