url_path,views_total,views_unique
/ConesaLab/IsoAnnot,11,7
/ConesaLab/IsoAnnot/blob/main/.github/workflows/github-repo-stats.yml,2,2
/ConesaLab/IsoAnnot/tree/main/.github/workflows,2,2
/ConesaLab/IsoAnnot/tree/main,2,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/InterproScan_install.sh,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/isoannot.sh,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/scripts/parseInterproscanXml.py,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/scripts/parse_protein_databases.py,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/snakemake.yaml,1,1
/ConesaLab/IsoAnnot/blob/main/README.md,1,1
