url_path,views_total,views_unique
/ConesaLab/IsoAnnot,16,9
/ConesaLab/IsoAnnot/tree/main/IsoAnnot,8,2
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/data/global/PSP_data,4,2
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/scripts,3,2
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/software/bin,3,2
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/data/global/PSP_data/Phosphorylation_site_dataset,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/envs/isoannotpy.yaml,1,1
/ConesaLab/IsoAnnot/blob/main/README.md,1,1
/ConesaLab/IsoAnnot/issues,1,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config,1,1
