time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-11 00:00:00+00:00,2.0,2.0,41,3
2025-11-12 00:00:00+00:00,1.0,1.0,21,1
2025-11-13 00:00:00+00:00,6.0,6.0,2,2
2025-11-14 00:00:00+00:00,18.0,7.0,8,2
2025-11-15 00:00:00+00:00,4.0,3.0,5,1
2025-11-16 00:00:00+00:00,4.0,4.0,2,1
2025-11-17 00:00:00+00:00,4.0,3.0,21,4
2025-11-18 00:00:00+00:00,8.0,8.0,66,6
2025-11-19 00:00:00+00:00,7.0,7.0,49,13
2025-11-20 00:00:00+00:00,6.0,6.0,54,12
2025-11-21 00:00:00+00:00,5.0,4.0,88,10
2025-11-22 00:00:00+00:00,4.0,4.0,3,2
2025-11-23 00:00:00+00:00,2.0,2.0,8,3
2025-11-24 00:00:00+00:00,,,10,4
