time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,3,3,43,2
2025-10-16 00:00:00+00:00,9,3,3,1
2025-10-17 00:00:00+00:00,9,4,5,3
2025-10-18 00:00:00+00:00,16,5,3,2
2025-10-19 00:00:00+00:00,16,5,1,1
2025-10-20 00:00:00+00:00,2,2,25,6
2025-10-21 00:00:00+00:00,13,3,51,3
2025-10-22 00:00:00+00:00,8,3,3,2
2025-10-23 00:00:00+00:00,18,7,7,3
2025-10-24 00:00:00+00:00,2,2,5,3
2025-10-25 00:00:00+00:00,2,2,4,2
2025-10-26 00:00:00+00:00,11,6,4,2
2025-10-27 00:00:00+00:00,8,3,8,5
2025-10-28 00:00:00+00:00,1,1,6,2
