url_path,views_total,views_unique
/ConesaLab/IsoAnnot,13,10
/ConesaLab/IsoAnnot/tree/main/IsoAnnot,5,1
/ConesaLab/IsoAnnot/commits/main,3,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/scripts,2,1
/ConesaLab/IsoAnnot/blob/4b3f4e5f7d3cd79b8766187c9f8aaa0e2b61dfd8/IsoAnnot/scripts/uniprot_parse.py,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/scripts/IsoAnnot.py,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/scripts/referenceSQANTI.py,1,1
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/scripts/uniprot_parse.py,1,1
/ConesaLab/IsoAnnot/branches,1,1
/ConesaLab/IsoAnnot/commit/4b3f4e5f7d3cd79b8766187c9f8aaa0e2b61dfd8,1,1
